2423, 230.9, 210.6, 0.055, no trigger, navigating, null
2440, 232.4, 208, 0.0554, no trigger, navigating, null
2457, 234, 205.3, 0.0559, no trigger, navigating, null
2474, 235.7, 202.4, 0.0564, no trigger, navigating, null
2491, 235.7, 202.4, 0.0564, leftTrigger, navigating, null
2509, 236.7, 200.7, 0.0567, no trigger, navigating, null
2526, 237.7, 199, 0.0569, no trigger, navigating, null
2543, 238.7, 197.4, 0.0572, no trigger, navigating, null
2560, 239.6, 195.9, 0.0575, no trigger, navigating, null
2577, 240.5, 194.3, 0.0577, no trigger, navigating, null
2595, 241.5, 192.6, 0.058, no trigger, navigating, null
2612, 242.4, 191.1, 0.0582, no trigger, navigating, null
2630, 243.3, 189.6, 0.0585, no trigger, navigating, null
2647, 244.3, 188, 0.0588, no trigger, navigating, null
2665, 245.2, 186.5, 0.059, no trigger, navigating, null
2681, 246.1, 185.1, 0.0593, no trigger, navigating, null
2698, 246.9, 183.6, 0.0595, no trigger, navigating, null
2716, 247.8, 182.2, 0.0597, no trigger, navigating, null
2733, 248.7, 180.7, 0.06, no trigger, navigating, null
2751, 249.5, 179.3, 0.0602, no trigger, navigating, null
2768, 250.4, 177.9, 0.0605, no trigger, navigating, null
2786, 251.2, 176.5, 0.0607, no trigger, navigating, null
2803, 252, 175.1, 0.0609, no trigger, navigating, null
2820, 252.9, 173.7, 0.0612, no trigger, navigating, null
2839, 253.7, 172.3, 0.0614, no trigger, navigating, null
2856, 254.5, 171, 0.0616, no trigger, navigating, null
2874, 255.4, 169.7, 0.0619, no trigger, navigating, null
2891, 256.2, 168.3, 0.0621, no trigger, navigating, null
2908, 256.9, 167.1, 0.0623, no trigger, navigating, null
2926, 257.7, 165.7, 0.0625, no trigger, navigating, null
2943, 258.5, 164.5, 0.0628, no trigger, navigating, null
2961, 259.3, 163.2, 0.063, no trigger, navigating, null
2980, 260, 162, 0.0632, no trigger, navigating, null
2998, 260.8, 160.7, 0.0634, no trigger, navigating, null
3015, 261.6, 159.5, 0.0636, no trigger, navigating, null
3033, 262.3, 158.3, 0.0638, no trigger, navigating, null
3050, 263, 157.1, 0.064, no trigger, navigating, null
3068, 263.7, 156, 0.0642, no trigger, navigating, null
