1495, 108.8, 425.4, 0.0125, no trigger, navigating, , undefined, 0, 0
1512, 109.5, 424.7, 0.0127, no trigger, navigating, , undefined, 0, 0
1530, 110.1, 423.9, 0.0129, no trigger, navigating, , undefined, 0, 0
1547, 110.8, 423.2, 0.0131, no trigger, navigating, , undefined, 0, 0
1564, 111.4, 422.5, 0.0133, no trigger, navigating, , undefined, 0, 0
1581, 112, 421.8, 0.0135, no trigger, navigating, , undefined, 0, 0
1597, 112.6, 421, 0.0137, no trigger, navigating, , undefined, 0, 0
1614, 113.2, 420.3, 0.0139, no trigger, navigating, , undefined, 0, 0
1632, 113.8, 419.6, 0.0141, no trigger, navigating, , undefined, 0, 0
1648, 114.4, 418.9, 0.0143, no trigger, navigating, , undefined, 0, 0
1665, 115, 418.1, 0.0145, no trigger, navigating, , undefined, 0, 0
1682, 115.6, 417.4, 0.0147, no trigger, navigating, , undefined, 0, 0
1699, 116.2, 416.7, 0.0149, no trigger, navigating, , undefined, 0, 0
1716, 116.8, 416, 0.015, no trigger, navigating, , undefined, 0, 0
1733, 117.4, 415.2, 0.0152, no trigger, navigating, , undefined, 0, 0
1750, 117.9, 414.5, 0.0154, no trigger, navigating, , undefined, 0, 0
1767, 118.5, 413.9, 0.0156, no trigger, navigating, , undefined, 0, 0
1783, 119, 413.1, 0.0158, no trigger, navigating, , undefined, 0, 0
1800, 119.6, 412.4, 0.0159, no trigger, navigating, , undefined, 0, 0
1817, 120.1, 411.7, 0.0161, no trigger, navigating, , undefined, 0, 0
1834, 120.1, 411.7, 0.0161, right trigger, navigating, , undefined, 0, 0
1851, 121.3, 410.2, 0.0165, no trigger, navigating, , undefined, 0, 0
1867, 122.3, 408.9, 0.0168, no trigger, navigating, , undefined, 0, 0
1884, 123.4, 407.5, 0.0171, no trigger, navigating, , undefined, 0, 0
1901, 124.4, 406, 0.0175, no trigger, navigating, , undefined, 0, 0
1918, 125.5, 404.6, 0.0178, no trigger, navigating, , undefined, 0, 0
1935, 126.5, 403.2, 0.0181, no trigger, navigating, , undefined, 0, 0
1952, 127.5, 401.8, 0.0185, no trigger, navigating, , undefined, 0, 0
1969, 128.6, 400.3, 0.0188, no trigger, navigating, , undefined, 0, 0
1986, 129.6, 398.9, 0.0191, no trigger, navigating, , undefined, 0, 0
2003, 130.6, 397.5, 0.0194, no trigger, navigating, , undefined, 0, 0
2020, 131.6, 396, 0.0197, no trigger, navigating, , undefined, 0, 0
2036, 132.5, 394.7, 0.02, no trigger, navigating, , undefined, 0, 0
2053, 133.5, 393.3, 0.0203, no trigger, navigating, , undefined, 0, 0
2069, 134.4, 391.9, 0.0206, no trigger, navigating, , undefined, 0, 0
2086, 135.4, 390.5, 0.0209, no trigger, navigating, , undefined, 0, 0
2102, 136.3, 389.2, 0.0212, no trigger, navigating, , undefined, 0, 0
2119, 137.2, 387.7, 0.0215, no trigger, navigating, , undefined, 0, 0
2137, 138.3, 386.3, 0.0218, no trigger, navigating, , undefined, 0, 0
2154, 139.2, 384.8, 0.022, no trigger, navigating, , undefined, 0, 0
2170, 140.1, 383.5, 0.0223, no trigger, navigating, , undefined, 0, 0
2186, 140.9, 382.2, 0.0226, no trigger, navigating, , undefined, 0, 0
2203, 141.8, 380.8, 0.0229, no trigger, navigating, , undefined, 0, 0
2221, 142.8, 379.3, 0.0231, no trigger, navigating, , undefined, 0, 0
2237, 143.7, 378, 0.0234, no trigger, navigating, , undefined, 0, 0
2254, 144.5, 376.6, 0.0237, no trigger, navigating, , undefined, 0, 0
2271, 145.4, 375.3, 0.0239, no trigger, navigating, , undefined, 0, 0
2288, 146.3, 373.9, 0.0242, no trigger, navigating, , undefined, 0, 0
2304, 147.1, 372.6, 0.0244, no trigger, navigating, , undefined, 0, 0
2321, 148, 371.3, 0.0247, no trigger, navigating, , undefined, 0, 0
2338, 148.8, 369.9, 0.025, no trigger, navigating, , undefined, 0, 0
2354, 149.6, 368.6, 0.0252, no trigger, navigating, , undefined, 0, 0
2372, 150.5, 367.2, 0.0255, no trigger, navigating, , undefined, 0, 0
2389, 151.4, 365.9, 0.0257, no trigger, navigating, , undefined, 0, 0
2407, 152.2, 364.5, 0.026, no trigger, navigating, , undefined, 0, 0
2423, 153, 363.3, 0.0262, no trigger, navigating, , undefined, 0, 0
2440, 153.8, 362, 0.0264, no trigger, navigating, , undefined, 0, 0
2457, 154.6, 360.7, 0.0267, no trigger, navigating, , undefined, 0, 0
2475, 155.5, 359.3, 0.0269, no trigger, navigating, , undefined, 0, 0
